sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Travis is touring.,Travis is revealing.,syntax,argument_structure,drop_argument,True,False,False,False,0,-36.80088806152344,-37.38056182861328,1
Noah approached.,Noah works with.,syntax,argument_structure,drop_argument,True,False,False,False,1,-31.741018295288086,-33.69428253173828,1
The Lutherans couldn't skate around.,The Lutherans couldn't disagree with.,syntax,argument_structure,drop_argument,True,False,False,False,2,-52.76234436035156,-50.75578308105469,0
A lot of teenagers haven't left.,A lot of teenagers haven't arrived at.,syntax,argument_structure,drop_argument,True,False,False,False,3,-43.07518005371094,-50.77042007446289,1
Rhonda's employees hadn't run around.,Rhonda's employees hadn't boasted about.,syntax,argument_structure,drop_argument,True,False,False,False,4,-50.85372543334961,-61.281227111816406,1
Renee could descend.,Renee could flee from.,syntax,argument_structure,drop_argument,True,False,False,False,5,-34.86152267456055,-36.397281646728516,1
This student's supervisors descended.,This student's supervisors admired.,syntax,argument_structure,drop_argument,True,False,False,False,6,-43.24022674560547,-43.84608459472656,1
Karen's dentists buy.,Karen's dentists found.,syntax,argument_structure,drop_argument,True,False,False,False,7,-47.90916061401367,-46.94624710083008,0
A lot of mothers of Steve observe.,A lot of mothers of Steve talk to.,syntax,argument_structure,drop_argument,True,False,False,False,8,-59.473793029785156,-58.45490646362305,0
Bill's wife saw.,Bill's wife returns to.,syntax,argument_structure,drop_argument,True,False,False,False,9,-21.165693283081055,-25.244077682495117,1
Tara's doctors have watched.,Tara's doctors have examined.,syntax,argument_structure,drop_argument,True,False,False,False,10,-43.493408203125,-45.27674102783203,1
William wasn't helping.,William wasn't boasting about.,syntax,argument_structure,drop_argument,True,False,False,False,11,-20.75275421142578,-36.29332733154297,1
Christopher climbed up.,Christopher walks through.,syntax,argument_structure,drop_argument,True,False,False,False,12,-16.320819854736328,-17.053050994873047,1
That guy remembers.,That guy looked like.,syntax,argument_structure,drop_argument,True,False,False,False,13,-19.793142318725586,-24.189905166625977,1
Nancy sold.,Nancy argued about.,syntax,argument_structure,drop_argument,True,False,False,False,14,-22.462448120117188,-27.485740661621094,1
Jodi has run around.,Jodi has biked to.,syntax,argument_structure,drop_argument,True,False,False,False,15,-37.50178527832031,-48.64247131347656,1
Anne hasn't climbed down.,Anne hasn't found.,syntax,argument_structure,drop_argument,True,False,False,False,16,-24.802383422851562,-18.89340591430664,0
Kathleen helped.,Kathleen resembles.,syntax,argument_structure,drop_argument,True,False,False,False,17,-30.37483024597168,-34.175376892089844,1
Marie isn't climbing down.,Marie isn't lifting.,syntax,argument_structure,drop_argument,True,False,False,False,18,-25.82510757446289,-24.42941665649414,0
The brothers of April ascend.,The brothers of April look like.,syntax,argument_structure,drop_argument,True,False,False,False,19,-41.2413215637207,-41.267791748046875,1
Kathleen wouldn't approach.,Kathleen wouldn't drop by.,syntax,argument_structure,drop_argument,True,False,False,False,20,-38.364768981933594,-43.79169464111328,1
Holly's plumbers sold.,Holly's plumbers admired.,syntax,argument_structure,drop_argument,True,False,False,False,21,-46.77058792114258,-49.694541931152344,1
Some boy watches.,Some boy fired.,syntax,argument_structure,drop_argument,True,False,False,False,22,-23.254863739013672,-23.81460189819336,1
Diana hadn't watched.,Diana hadn't talked to.,syntax,argument_structure,drop_argument,True,False,False,False,23,-36.85177993774414,-36.257347106933594,0
The children see.,The children admire.,syntax,argument_structure,drop_argument,True,False,False,False,24,-16.90322494506836,-23.121505737304688,1
Liam should pass.,Liam should go to.,syntax,argument_structure,drop_argument,True,False,False,False,25,-27.304149627685547,-25.803279876708984,0
Kendra isn't attacking.,Kendra isn't revealing.,syntax,argument_structure,drop_argument,True,False,False,False,26,-38.342498779296875,-40.645442962646484,1
Florence's doctors have loved.,Florence's doctors have disliked.,syntax,argument_structure,drop_argument,True,False,False,False,27,-40.95030212402344,-45.407005310058594,1
Heather ascends.,Heather concealed.,syntax,argument_structure,drop_argument,True,False,False,False,28,-36.356910705566406,-30.735370635986328,0
Roger has exited.,Roger has worked with.,syntax,argument_structure,drop_argument,True,False,False,False,29,-22.259780883789062,-19.639305114746094,0
Rose is buying.,Rose is wearing.,syntax,argument_structure,drop_argument,True,False,False,False,30,-18.381851196289062,-17.601043701171875,0
A lot of guys skate around.,A lot of guys escaped from.,syntax,argument_structure,drop_argument,True,False,False,False,31,-46.80982208251953,-44.09614944458008,0
Nicole's grandfathers don't exit.,Nicole's grandfathers don't admire.,syntax,argument_structure,drop_argument,True,False,False,False,32,-55.75751495361328,-55.776092529296875,1
Martin should approach.,Martin should sound like.,syntax,argument_structure,drop_argument,True,False,False,False,33,-21.604812622070312,-24.46245002746582,1
Lucille's contractors had ascended.,Lucille's contractors had boasted about.,syntax,argument_structure,drop_argument,True,False,False,False,34,-54.67339324951172,-61.846439361572266,1
Mark approached.,Mark escaped from.,syntax,argument_structure,drop_argument,True,False,False,False,35,-16.06024932861328,-20.42389488220215,1
Some teachers' senators are touring.,Some teachers' senators are complaining about.,syntax,argument_structure,drop_argument,True,False,False,False,36,-44.7403564453125,-48.3092155456543,1
David ascends.,David escaped from.,syntax,argument_structure,drop_argument,True,False,False,False,37,-24.479537963867188,-19.15461540222168,0
Jason has explored.,Jason has driven to.,syntax,argument_structure,drop_argument,True,False,False,False,38,-21.990787506103516,-21.475351333618164,0
Every nephew of a lady attacked.,Every nephew of a lady scared.,syntax,argument_structure,drop_argument,True,False,False,False,39,-37.72629928588867,-35.42804718017578,0
Sisters of that guest weren't approaching.,Sisters of that guest weren't examining.,syntax,argument_structure,drop_argument,True,False,False,False,40,-52.31389617919922,-53.75116729736328,1
Walter's best friends weren't climbing down.,Walter's best friends weren't fleeing from.,syntax,argument_structure,drop_argument,True,False,False,False,41,-43.60605239868164,-49.018436431884766,1
Connie's plumbers are visiting.,Connie's plumbers are firing.,syntax,argument_structure,drop_argument,True,False,False,False,42,-40.87574768066406,-41.858951568603516,1
This sister of most adults tours.,This sister of most adults drove to.,syntax,argument_structure,drop_argument,True,False,False,False,43,-44.91701126098633,-47.27682876586914,1
Edward passes.,Edward arrived at.,syntax,argument_structure,drop_argument,True,False,False,False,44,-15.135011672973633,-18.636581420898438,1
Sabrina's boss sells.,Sabrina's boss escapes from.,syntax,argument_structure,drop_argument,True,False,False,False,45,-33.19890213012695,-41.95637512207031,1
Debra's ex-husband would leave.,Debra's ex-husband would listen to.,syntax,argument_structure,drop_argument,True,False,False,False,46,-40.54486083984375,-41.26055145263672,1
The committees buy.,The committees dislike.,syntax,argument_structure,drop_argument,True,False,False,False,47,-25.708053588867188,-26.517078399658203,1
The patient's guests wouldn't see.,The patient's guests wouldn't boast about.,syntax,argument_structure,drop_argument,True,False,False,False,48,-37.535728454589844,-53.26756286621094,1
This man buys.,This man drove to.,syntax,argument_structure,drop_argument,True,False,False,False,49,-23.903499603271484,-25.634109497070312,1
Deborah's mothers are leaving.,Deborah's mothers are lifting.,syntax,argument_structure,drop_argument,True,False,False,False,50,-33.123321533203125,-36.13056945800781,1
Stacey's senators wouldn't approach.,Stacey's senators wouldn't find.,syntax,argument_structure,drop_argument,True,False,False,False,51,-58.665489196777344,-56.745914459228516,0
Maria's son can explore.,Maria's son can drop by.,syntax,argument_structure,drop_argument,True,False,False,False,52,-26.886093139648438,-32.025726318359375,1
Jane had explored.,Jane had admired.,syntax,argument_structure,drop_argument,True,False,False,False,53,-23.4775390625,-22.94476890563965,0
The waitress has approached.,The waitress has resembled.,syntax,argument_structure,drop_argument,True,False,False,False,54,-33.04475021362305,-36.21472930908203,1
Some companies had remembered.,Some companies had respected.,syntax,argument_structure,drop_argument,True,False,False,False,55,-26.356843948364258,-25.832494735717773,0
Ann couldn't love.,Ann couldn't bike to.,syntax,argument_structure,drop_argument,True,False,False,False,56,-20.57892608642578,-29.058273315429688,1
Timothy's piano teachers won't explore.,Timothy's piano teachers won't work with.,syntax,argument_structure,drop_argument,True,False,False,False,57,-48.99551010131836,-49.987274169921875,1
Tiffany's students sell.,Tiffany's students look like.,syntax,argument_structure,drop_argument,True,False,False,False,58,-47.15668487548828,-50.68816375732422,1
Stephanie won't explore.,Stephanie won't admire.,syntax,argument_structure,drop_argument,True,False,False,False,59,-29.865951538085938,-31.66613006591797,1
Bethany would ascend.,Bethany would talk to.,syntax,argument_structure,drop_argument,True,False,False,False,60,-52.28815841674805,-45.72201156616211,0
These drivers sold.,These drivers escape from.,syntax,argument_structure,drop_argument,True,False,False,False,61,-23.866748809814453,-30.06500244140625,1
Some son of Carol hadn't sold.,Some son of Carol hadn't sounded like.,syntax,argument_structure,drop_argument,True,False,False,False,62,-44.47919464111328,-50.2177619934082,1
Nicole's partners were ascending.,Nicole's partners were arguing about.,syntax,argument_structure,drop_argument,True,False,False,False,63,-45.40274429321289,-46.610801696777344,1
Carla wasn't buying.,Carla wasn't scaring.,syntax,argument_structure,drop_argument,True,False,False,False,64,-27.718217849731445,-30.007476806640625,1
Leslie observed.,Leslie found.,syntax,argument_structure,drop_argument,True,False,False,False,65,-25.963762283325195,-23.969745635986328,0
That school was buying.,That school was looking like.,syntax,argument_structure,drop_argument,True,False,False,False,66,-28.211729049682617,-30.854270935058594,1
Helen was approaching.,Helen was talking to.,syntax,argument_structure,drop_argument,True,False,False,False,67,-20.541645050048828,-16.820552825927734,0
Andrew does tour.,Andrew does respect.,syntax,argument_structure,drop_argument,True,False,False,False,68,-21.55913543701172,-19.538047790527344,0
Brian is skated around.,Brian is biking to.,syntax,argument_structure,drop_argument,True,False,False,False,69,-28.9371337890625,-29.306129455566406,1
That sister of Julie investigates.,That sister of Julie listens to.,syntax,argument_structure,drop_argument,True,False,False,False,70,-43.25153732299805,-43.05591583251953,0
Brett had forgotten.,Brett had referenced.,syntax,argument_structure,drop_argument,True,False,False,False,71,-42.92245864868164,-48.044044494628906,1
April has climbed up.,April has argued about.,syntax,argument_structure,drop_argument,True,False,False,False,72,-25.630353927612305,-27.190452575683594,1
Steve hadn't sold.,Steve hadn't sounded like.,syntax,argument_structure,drop_argument,True,False,False,False,73,-22.26227569580078,-27.081945419311523,1
Denise's grandmothers attack.,Denise's grandmothers work with.,syntax,argument_structure,drop_argument,True,False,False,False,74,-43.117733001708984,-45.39075469970703,1
Some dancers' piano teachers can't buy.,Some dancers' piano teachers can't bike to.,syntax,argument_structure,drop_argument,True,False,False,False,75,-52.77790069580078,-63.843135833740234,1
A pedestrian is touring.,A pedestrian is going to.,syntax,argument_structure,drop_argument,True,False,False,False,76,-38.7513427734375,-33.60176467895508,0
Daniel's brothers run around.,Daniel's brothers listen to.,syntax,argument_structure,drop_argument,True,False,False,False,77,-25.545862197875977,-23.384456634521484,0
Most ladies haven't sold.,Most ladies haven't found.,syntax,argument_structure,drop_argument,True,False,False,False,78,-27.716527938842773,-25.597118377685547,0
Veronica helps.,Veronica scares.,syntax,argument_structure,drop_argument,True,False,False,False,79,-19.86162757873535,-22.84869384765625,1
Tamara's partner forgot.,Tamara's partner concealed.,syntax,argument_structure,drop_argument,True,False,False,False,80,-29.87156867980957,-36.9375114440918,1
Monica exits.,Monica fired.,syntax,argument_structure,drop_argument,True,False,False,False,81,-21.39379119873047,-18.580455780029297,0
These friends of Timothy are observing.,These friends of Timothy are admiring.,syntax,argument_structure,drop_argument,True,False,False,False,82,-43.85413360595703,-51.3614501953125,1
Lisa's contractors pass.,Lisa's contractors conceal.,syntax,argument_structure,drop_argument,True,False,False,False,83,-34.035152435302734,-36.65736389160156,1
Amy's student was climbing down.,Amy's student was returning to.,syntax,argument_structure,drop_argument,True,False,False,False,84,-29.913984298706055,-28.77143096923828,0
These senators' doctors watch.,These senators' doctors went to.,syntax,argument_structure,drop_argument,True,False,False,False,85,-41.479103088378906,-44.8315315246582,1
Deborah has passed.,Deborah has examined.,syntax,argument_structure,drop_argument,True,False,False,False,86,-24.21805191040039,-26.913379669189453,1
Eva's grandmothers were leaving.,Eva's grandmothers were driving to.,syntax,argument_structure,drop_argument,True,False,False,False,87,-31.036304473876953,-36.478919982910156,1
Sarah might exit.,Sarah might return to.,syntax,argument_structure,drop_argument,True,False,False,False,88,-26.52776336669922,-24.358901977539062,0
Caroline does climb up.,Caroline does go to.,syntax,argument_structure,drop_argument,True,False,False,False,89,-28.01192855834961,-25.077056884765625,0
Many sisters of Sarah haven't attacked.,Many sisters of Sarah haven't examined.,syntax,argument_structure,drop_argument,True,False,False,False,90,-48.3458366394043,-50.42985534667969,1
Tamara loved.,Tamara disagrees with.,syntax,argument_structure,drop_argument,True,False,False,False,91,-18.687332153320312,-30.429290771484375,1
Sally approached.,Sally dropped by.,syntax,argument_structure,drop_argument,True,False,False,False,92,-27.176904678344727,-32.73042297363281,1
Marie cleaned.,Marie fled from.,syntax,argument_structure,drop_argument,True,False,False,False,93,-15.556087493896484,-20.957426071166992,1
Most pedestrians attack.,Most pedestrians disliked.,syntax,argument_structure,drop_argument,True,False,False,False,94,-23.419960021972656,-28.519561767578125,1
Catherine's handymen had loved.,Catherine's handymen had cured.,syntax,argument_structure,drop_argument,True,False,False,False,95,-57.643890380859375,-60.84199142456055,1
Benjamin exited.,Benjamin wore.,syntax,argument_structure,drop_argument,True,False,False,False,96,-22.233163833618164,-23.631183624267578,1
That father of Barbara knows.,That father of Barbara examined.,syntax,argument_structure,drop_argument,True,False,False,False,97,-38.85013198852539,-44.554527282714844,1
Florence will visit.,Florence will escape from.,syntax,argument_structure,drop_argument,True,False,False,False,98,-28.844919204711914,-36.8843994140625,1
Alice investigated.,Alice boasted about.,syntax,argument_structure,drop_argument,True,False,False,False,99,-14.948975563049316,-23.16208267211914,1
Nina descended.,Nina resembled.,syntax,argument_structure,drop_argument,True,False,False,False,100,-25.88355255126953,-28.207679748535156,1
Mary won't investigate.,Mary won't resemble.,syntax,argument_structure,drop_argument,True,False,False,False,101,-20.53548240661621,-23.976810455322266,1
Omar descends.,Omar boasts about.,syntax,argument_structure,drop_argument,True,False,False,False,102,-35.9058837890625,-35.038963317871094,0
Steve's ex-wives observe.,Steve's ex-wives resembled.,syntax,argument_structure,drop_argument,True,False,False,False,103,-39.2386474609375,-40.440635681152344,1
This grandmother of Brenda cleaned.,This grandmother of Brenda dislikes.,syntax,argument_structure,drop_argument,True,False,False,False,104,-45.867652893066406,-55.44923400878906,1
Paul's handymen know.,Paul's handymen flee from.,syntax,argument_structure,drop_argument,True,False,False,False,105,-34.56947708129883,-50.24104690551758,1
Beth tours.,Beth biked to.,syntax,argument_structure,drop_argument,True,False,False,False,106,-34.72423553466797,-48.18611145019531,1
Wendy's father cleans.,Wendy's father cures.,syntax,argument_structure,drop_argument,True,False,False,False,107,-44.43104934692383,-46.31209182739258,1
Randolf approaches.,Randolf scares.,syntax,argument_structure,drop_argument,True,False,False,False,108,-21.55668830871582,-24.590909957885742,1
Monet investigated.,Monet works with.,syntax,argument_structure,drop_argument,True,False,False,False,109,-22.53386688232422,-26.39468765258789,1
Andrew was observing.,Andrew was arriving at.,syntax,argument_structure,drop_argument,True,False,False,False,110,-21.104782104492188,-25.204818725585938,1
Cynthia's daughters helped.,Cynthia's daughters return to.,syntax,argument_structure,drop_argument,True,False,False,False,111,-50.85690689086914,-56.03658676147461,1
Dawn's granddaughter did run around.,Dawn's granddaughter did go to.,syntax,argument_structure,drop_argument,True,False,False,False,112,-51.467002868652344,-47.28982162475586,0
Rebecca will watch.,Rebecca will go to.,syntax,argument_structure,drop_argument,True,False,False,False,113,-20.529178619384766,-22.186153411865234,1
Gregory loved.,Gregory worked with.,syntax,argument_structure,drop_argument,True,False,False,False,114,-20.780296325683594,-25.960004806518555,1
Raymond is buying.,Raymond is referencing.,syntax,argument_structure,drop_argument,True,False,False,False,115,-27.212308883666992,-29.393131256103516,1
Caroline skates around.,Caroline listens to.,syntax,argument_structure,drop_argument,True,False,False,False,116,-30.27630615234375,-21.87112045288086,0
Eric saw.,Eric references.,syntax,argument_structure,drop_argument,True,False,False,False,117,-14.830564498901367,-12.087299346923828,0
Tiffany investigates.,Tiffany concealed.,syntax,argument_structure,drop_argument,True,False,False,False,118,-37.92686462402344,-38.2107048034668,1
Lawrence's dermatologists will leave.,Lawrence's dermatologists will complain about.,syntax,argument_structure,drop_argument,True,False,False,False,119,-50.6849250793457,-57.8582878112793,1
Cynthia's hairdresser can't observe.,Cynthia's hairdresser can't walk through.,syntax,argument_structure,drop_argument,True,False,False,False,120,-78.34660339355469,-78.63833618164062,1
Some pedestrians hadn't observed.,Some pedestrians hadn't disagreed with.,syntax,argument_structure,drop_argument,True,False,False,False,121,-36.16879653930664,-44.2930793762207,1
Teresa did explore.,Teresa did conceal.,syntax,argument_structure,drop_argument,True,False,False,False,122,-35.1987419128418,-35.630428314208984,1
Those grandsons of Laura haven't exited.,Those grandsons of Laura haven't cured.,syntax,argument_structure,drop_argument,True,False,False,False,123,-65.95024871826172,-64.25078582763672,0
Beth leaves.,Beth references.,syntax,argument_structure,drop_argument,True,False,False,False,124,-32.95071029663086,-31.651737213134766,0
Victoria has attacked.,Victoria has fired.,syntax,argument_structure,drop_argument,True,False,False,False,125,-19.05794906616211,-16.88560676574707,0
Karen tours.,Karen drove to.,syntax,argument_structure,drop_argument,True,False,False,False,126,-22.60474395751953,-27.247135162353516,1
Diana hasn't run around.,Diana hasn't gone to.,syntax,argument_structure,drop_argument,True,False,False,False,127,-39.83572769165039,-34.298709869384766,0
Sharon's grandmothers had watched.,Sharon's grandmothers had found.,syntax,argument_structure,drop_argument,True,False,False,False,128,-48.67557907104492,-46.95561981201172,0
Ella might ascend.,Ella might return to.,syntax,argument_structure,drop_argument,True,False,False,False,129,-40.168861389160156,-32.98681640625,0
Catherine hadn't ascended.,Catherine hadn't lifted.,syntax,argument_structure,drop_argument,True,False,False,False,130,-40.526893615722656,-37.79066467285156,0
Travis had observed.,Travis had worked with.,syntax,argument_structure,drop_argument,True,False,False,False,131,-42.27608871459961,-43.478267669677734,1
